"SAM","Chlorophyll_water","Tolerance_salt"
"SAM001",18.9499999999999,0.0223033971751965
"SAM002",19.7249999999999,-0.0586959073427317
"SAM003",12.9749999999999,-0.287837688271041
"SAM004",18.2999999999999,0.265603197007702
"SAM005",15.3999999999999,-0.369422536680003
"SAM006",16.1999999999999,-0.927286315470232
"SAM007",18.8499999999999,0.122347274753296
"SAM008",15.0249999999999,-0.324297971130786
"SAM009",14.6249999999999,-0.1124813713503
"SAM010",17.5749999999999,-0.0986013717479337
"SAM011",17.4249999999999,0.299038630104806
"SAM012",13.8499999999999,0.0402421681772308
"SAM013",10.3749999999999,NA
"SAM014",10.8999999999999,0.230824396532085
"SAM015",11.6999999999999,0.24766752196104
"SAM016",13.0999999999999,-0.130107139346144
"SAM017",11.9999999999999,-0.505089173263401
"SAM018",14.8749999999999,0.0800323443911254
"SAM020",18.3249999999999,0.036058298344557
"SAM021",14.8499999999999,0.394586557519125
"SAM022",16.2499999999999,-0.238734593047442
"SAM023",15.5249999999999,-0.214907690672184
"SAM024",17.2999999999999,NA
"SAM025",14.4499999999999,0.152363722841973
"SAM026",18.8249999999999,0.0652157217359324
"SAM027",12.9049999999999,0.279305137370203
"SAM029",17.8999999999999,-0.237506182673427
"SAM030",15.7749999999999,-0.0955229820665759
"SAM031",18.4749999999999,-0.132140562178187
"SAM032",15.8499999999999,0.124312464352614
"SAM033",11.8303208962577,0.150659347681841
"SAM034",17.3303208962577,-0.283746741513714
"SAM035",14.8999999999999,-0.400407671861496
"SAM036",13.9499999999999,-0.425826985231683
"SAM037",13.0749999999999,NA
"SAM038",19.8349924139929,-0.294981783890124
"SAM039",14.7749999999999,0.412909605203996
"SAM040",16.0749999999999,0.217751933961209
"SAM041",16.0749999999999,0.213532448271655
"SAM043",16.4749999999999,-0.134039205708294
"SAM045",15.4999999999999,0.279951557943297
"SAM047",16.4999999999999,0.374218619676303
"SAM048",19.8249999999999,0.0712121395531699
"SAM049",18.2499999999999,-0.0634437725115999
"SAM050",16.2999999999999,0.373138991063386
"SAM052",15.275,0.0643217164349244
"SAM053",16.7249999999999,0.0011582667140911
"SAM054",16.3749999999999,0.0644641354545044
"SAM055",15.3499999999999,0.0920470208891184
"SAM056",15.0249999999999,0.21375014563466
"SAM057",13.6249999999999,-0.208244922572809
"SAM058",13.4969875629243,-0.256796631698315
"SAM059",22.5249999999999,-0.21711303153679
